Lead Month,Lead_Count/Month,Phone_Call_Count/Month,Follow-up call/month,Validated_Lead_Count/Month,DM_Cost/Month,Phone_Cost/Month,Total_Cost(DM+Phone_Calls),Count _of_Orders _Deliverd /Month,Revenue_generated/Month,Cost per lead Ratio,Cost /confirmed_order_Month_Wise_Ratio,Leads to Calls Connected Ratio,Leads to validated Lead Ratio,Leads to Order Ratio,Roas,Cost per validated lead,Time to reach out to the lead Whether the person had answered the call or not is irrelevant,Time to reach out to the lead when conversation happen
24-Apr,130,92,40,0,12862.18,289.5,13151.68,2.0,24380.0,101.167,12190.0,0.708,0.0,0.015,1.854,0.0,0.9318260049710324,0.97246052692303
24-May,387,314,167,43,34542.67,1320.6,35863.27,0.0,0.0,92.67,0.0,0.811,0.111,0.0,0.0,0.001,0.9423950894429672,0.9305731178193448
24-Jun,159,125,64,7,23631.58,772.0500000000001,24403.63,0.0,0.0,153.482,0.0,0.786,0.044,0.0,0.0,0.0,0.8986834771659963,0.8816412812122194
24-Jul,167,138,55,24,14533.49,590.4,15123.89,9.0,181428.0,90.562,20158.667,0.826,0.144,0.054,11.996,0.002,0.8731907837643352,0.8608318910502193
24-Aug,300,248,110,42,10764.09,1185.9,11949.99,7.0,126746.63,39.833,18106.661,0.827,0.14,0.023,10.606,0.004,0.9988086079892664,0.9709328900426932
24-Sep,409,308,118,52,24262.01,1544.85,25806.86,2.0,45547.3,63.097,22773.65,0.753,0.127,0.005,1.765,0.002,0.9035877746569436,0.8995349425164999
Total,1552,1225,554,168,120596.02,5703.300000000001,126299.32,20.0,378101.93,81.378,18905.096,0.789,0.108,0.013,2.994,0.001,0.7926416768557917,0.7879963785091437
